geoname	geoname1	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	geonameId	latitude	longitude
Colima (Mexiko)	Colima (Mexiko)									4013513	19.13333	-103.9
	Collingwood Bay (Britisch Papua Neuguinea)											
	Colmar, nachweislich von 24.4.1896-30.9.1899											
Colombo (Ceylon)	Colombo (Ceylon/Sri Lanka)	Colombo (Ceylon)								1224793	6.93333	79.86667
	Conceicaodo do Araguaya (Brasilien)											
Concepción (Chile)	Concepción (Chile)									3893894	-36.82699	-73.04977
	Constantia/Wynberg (Kapstadt)											
	Constantinopel (Konstantinopel)											
Conway (Alaska)	Conway (Alaska)									5859820	64.78056	-164.27222
Cooktown	Cooktown									7668701	-15.4447	145.18401
Cora (Mexiko)	Cora (Mexiko)									3980711	21.73633	-105.00504
Cordoba (Argentinien)	Cordoba (Argentinien)	Cordoba								3860259	-31.40648	-64.18853
Coron (Maine-et-Loire)	Coron (Maine-et-Loire)									3023557	47.12763	-0.64703
Cossebaude	Cossebaude									12500813	51.08972	13.62558
Costa Rica	Costa Rica									3624060	10	-84
Cottbus	Cottbus									2939811	51.75769	14.32888
	Courbevoie (bei Asnières/Seine)											
Crawfordsville (Indiana)	Crawfordsville (Indiana)									12213089	40.04038	-86.8933
Cresson (Pennsylvania)	Cresson (Pennsylvania)									5185861	40.45979	-78.59168
Crossen	Crossen									2883557	50.97494	11.9781
	Cuddalore (Britisch Indien)											
Curitiba (Brasilien)	Curitiba (Brasilien)									3464975	-25.42778	-49.27306
	Cuttack (Katak/Cuttek)											
Cuyaba (Cuiabá)	Cuyaba (Cuiabá)	Cuyaba								3465038	-15.59611	-56.09667
Cuzco	Cuzco									3941584	-13.53188	-71.96701
	Cöln (Köln)	Cöln [Köln]	Cöln am Rhein (Köln)									
	Cöslin											
Danzig	Danzig	Danzig (Schichau)	Danzig (Westpreußen)							3099434	54.35227	18.64912
Dar-es-Salaam	Dar es Saalam	Dar-es-Salaam	Daressalam (Dar-es-Salaam)	Daressalam (Dar-es-Salaam) (Tansania / Deutsch-Ostafrika)	Daressalam (Dar-es-Salam)					160263	-6.82349	39.26951
Darmstadt	Darmstadt									2938913	49.87167	8.65027
	Darnley Insel (Australien)											
David (Provinz Chiriquí)	David (Provinz Chiriquí)									3711668	8.42729	-82.43085
Dehra Dun	Dehra Dun									1273313	30.32443	78.03392
Delaware	Delaware									4142224	39.00039	-75.49992
Delft (Niederlande)	Delft (Niederlande)									2757345	52.00667	4.35556
Deli (Sumatra)	Deli (Sumatra)									1214800	3879	98633
Den Haag	Den Haag									2747373	52.07667	4.29861
Dessau	Dessau									2937959	51.83864	12.24555
Detmold	Detmold									2937936	51.93855	8.87318
	Deutsch Krone (heute Walcz, Polen)											
	Deutsch-Lissa, Leśnica (ehemals Deutsch Lissa) ist ein Stadtteil im Westen der Stadt Breslau											
	Deutsch-Neu-Guinea (Bismarckarchipel)											
Deutsch-Neuguinea	Deutsch-Neuguinea									7733077	15213	145.7565
	Deutsch-Ostafrika											
	Deutsch-Rixdorf											
	Deutsches Reich											
Dhubri (Assam)	Dhubri (Assam)									1272694	26.01856	89.98564
	Dissen (Hannover)											
Distrikt, Deli	Distrikt, Deli									295629	31.79213	34.64966
	Distrikt, Ghazipur											
	Distrikt, Haut-Uele											
	Distrikt, Storneberg											
	Distrikthauptstadt, Songea											
	Djokdjakarta (Java)											
Dole (Frankreich)	Dole (Frankreich)									3021263	47.09225	5.48966
Dordrecht	Dordrecht									2756669	51.81	4.67361
	Dorf, Bindow (bei Königs Wusterhausen)											
	Dorf, Mdaburu											
Dorr	Dorr									3021015	42.48483	1.94053
Dresden	Dresden									2935022	51.05089	13.73832
Dresden (Sachsen)	Dresden (Sachsen)									2935022	51.05089	13.73832
Dresden-Blasewitz	Dresden-Blasewitz									2948000	51.05305	13.79831
Duala	Duala	Duala (Kamerun)	Duala (Westafrika)							2232593	4.04827	9.70428
Duke of York Inseln	Duke of York Inseln									2097930	-4.18892	152.42741
	Dume (Dahomey)											
	Dumebezirk (Kamerun)											
Dunkerque (Dünkirchen)	Dunkerque (Dünkirchen)									3020686	51.0344	2.37681
Durban	Durban	Durban (Südafrika)								1007311	-29.8579	31.0292
Dänemark	Dänemark									2623032	56	10
Düsseldorf	Düsseldorf									2934246	51.22172	6.77616
East London	East London									4839416	41.35565	-72.09952
	Eberfeld											
Ebernhahn	Ebernhahn									6554126	50.4667	7.76667
Eberswalde	Eberswalde									2933882	52.83492	13.81951
Eckernförde	Eckernförde									2933627	54.46854	9.83824
Ecuador	Ecuador									3658394	-1.25	-78.25
	Edinburgh (Großbritannien)											
	Eichstedt/Altmark (nördlich von Magdeburg)											
Eilenburg	Eilenburg									2931871	51.45984	12.63338
Eisenach	Eisenach									2931574	50.9807	10.31522
El Callao	El Callao									3946083	-12.05162	-77.13452
Elberfeld	Elberfeld									4257070	38.15977	-87.44835
	Elberfeld (heute zu Wuppertal)											
Elizabeth (New Jersey)	Elizabeth (New Jersey)									5097598	40.66399	-74.2107
Elsfleth	Elsfleth									6557487	53.23	8.4527
	Emmerich (am Niederrhein)											
England	England									11919979	44	-71
	England (Großbritannien)											
	Erbach bei Ulm											
Erding	Erding									2929715	48.30603	11.90686
Erfurt	Erfurt									2929670	50.9787	11.03283
Erlangen	Erlangen									2929567	49.59099	11.00783
	Eschweiler-Pumpe											
Essen	Essen									2928810	51.45657	7.01228
Essen (Ruhr)	Essen (Ruhr)									6457352	51.40325	6.94001
Essen a.d. Ruhr	Essen a.d. Ruhr									6457352	51.40325	6.94001
Essen-Altenessen	Essen-Altenessen									2957704	51.48696	7.01052
Essex	Essex									4942807	42.46676	-70.94949
Etén (Peru)	Etén (Peru)									3697083	-6.90806	-79.86417
Eupen	Eupen									2798573	50.6279	6.03647
Eutin (Holstein)	Eutin (Holstein)									2928381	54.13503	10.61148
	Expeditionslager, Wolfshaven am Luala											
	Eylau (Ostpreußen)											
Eßlingen	Eßlingen									2928751	48.73961	9.30473
	Farenda Gratidão (Angola)											
Feldbach (Steiermark, Österreich)	Feldbach (Steiermark, Österreich)									2779681	46.93003	15.83734
Feldkirch	Feldkirch									2779674	47.23306	9.6
	Feuerland (Grande Isla de Terra Fuego)											
Fianga	Fianga									2432638	9.96667	15.21667
Fidji	Fidji									2205218	-18	178
Fidschi-Inseln	Fidschi-Inseln									2205217	-18	178
	Fiji, Neu-Kaledonien, Salomon-Inseln											
Finkenkrug	Finkenkrug									2926752	52.56128	13.04756
	Finnisch-Lappland											
Finschhafen	Finschhafen									7731024	-6.62175	147.85405
Flandern	Flandern									2797656	51.05	3.71667
Fleurier (Schweiz)	Fleurier (Schweiz)									2660758	46.90224	6.58253
Fleurieu-sur-Saône	Fleurieu-sur-Saône									3018303	45.86095	4.84633
Florenz (Toscana / Italien)	Florenz (Toscana / Italien)									3176959	43.77925	11.24626
Formosa	Formosa									1668284	24	121
Formosa (Taiwan)	Formosa (Taiwan)									1668284	24	121
	Formosa (heutiges Taiwan)											
	Forsthaus Priemern bei Seehausen (Altmark)											
Foumban	Foumban									2231506	5.72662	10.89865
	Frankenhausen, Schwarzburg-Rudolstadt											
Frankfurt	Frankfurt	Frankfurt a. M.	Frankfurt a./M	Frankfurt a./M.	Frankfurt a./O.	Frankfurt a.M.	Frankfurt a.O.	Frankfurt am Main		2925533	50.11552	8.68417
	Frankfurt a./M.- Praunheim											
Frankreich	Frankreich									3017382	46	2
Franzburg	Franzburg									6550706	54.1833	12.8833
	Französisch Congo (Gabun)	Französisch-Kongo										
Freetown (Sierra Leone)	Freetown (Sierra Leone)									2409306	8.48714	-13.2356
Freiberg	Freiberg	Freiburg	Freiburg (Baden)	Freiburg i.Br.	Freiburg im Breisgau					2925192	50.91089	13.33881
Freienwalde	Freienwalde	Freienwalde (Kreis Barnim)								2953458	52.7873	14.0304
Fribourg (Üechtland/Schweiz)	Fribourg (Üechtland/Schweiz)									2660718	46.80237	7.15128
Friedenau	Friedenau									2924770	52.47133	13.32813
Friedland	Friedland									2924680	52.10493	14.26399
	Friedrich-Wilhelmshafen (Deutsch-Neuguinea)											
Friedrichsruh	Friedrichsruh									2924486	53.53043	10.33971
	Fritzow (bei Kammin/Pommern)											
Gabun	Gabun									2400553	-1	11.75
	Gabun, Republik Kongo, Zentralafrikanische Republik, Tschad											
	Gabès (heute in Tunesien)											
Gandersheim	Gandersheim									2953456	51.87167	10.02537
Garmisch	Garmisch									2922530	47.49209	11.09576
Garmisch-Partenkirchen	Garmisch-Partenkirchen									2922530	47.49209	11.09576
	Gasisi											
	Gebiet, Chaco											
	Gebiet, Chanchamayo											
	Gebiet, Gran Chaco											
	Gebiet, Kilimanjaro											
	Gebiet, Ogawe											
	Gebiet, Sierra del Nayarit											
	Gebiet, Uaupé											
	Gebiet, Xingu (Brasilien)											
